Countries,Population,As_percent,Date,Source,Note
World,8232000000,100.0,2025-06-13,UN_projection[1][3],
India,1417492000,17.2,2025-07-01,Official_projection[4],[b]
China,1408280000,17.1,2024-12-31,Official_estimate[5],[c]
United_States,340110988,4.1,2024-07-01,Official_estimate[6],[d]
Indonesia,284438782,3.5,2025-06-30,National_annual_projection[7],
Pakistan,241499431,2.9,2023-03-01,2023_census_result[8],[e]
Nigeria,223800000,2.7,2023-07-01,Official_projection[9],
Brazil,213421037,2.6,2025-07-01,Official_estimate[10],
Bangladesh,169828911,2.1,2022-06-14,2022_census_result[11],[f]
Russia,146028325,1.8,2025-01-01,Official_estimate[13],[g]
Mexico,130760049,1.6,2025-09-30,National_quarterly_estimate[14],
Japan,123160000,1.5,2025-12-01,Monthly_national_estimate[15],
Philippines,114123600,1.4,2025-07-01,Official_projection[16],
Democratic_Republic_of_the_Congo,112832000,1.4,2025-07-01,UN_projection[17],
Ethiopia,111652998,1.4,2025-07-01,National_annual_projection[18],
Egypt,107271260,1.3,2025-01-01,Official_estimate[19],
Vietnam,102300000,1.2,2025-12-31,Official_estimate[20],
Iran,85961000,1.0,2024-03-20,Official_estimate[21],
Turkey,85664944,1.0,2024-12-31,Official_estimate[22],
Germany,83497147,1.0,2025-09-30,National_quarterly_estimate[23],
United_Kingdom,69487000,0.8,2025-06-30,Official_estimate[24],[h]
France,68736000,0.8,2025-11-01,Monthly_national_estimate[25],[i]
Tanzania,68153004,0.8,2025-07-01,Official_projection[26],[j]
Thailand,65826149,0.8,2025-11-30,Monthly_national_estimate[27],
South_Africa,63100945,0.8,2025-06-30,Official_estimate[28],
Italy,58947569,0.7,2025-09-30,Monthly_national_estimate[29],
Kenya,53330978,0.6,2025-07-01,Official_projection[30],
Colombia,53057212,0.6,2025-01-01,Official_projection[31],
Sudan,51662000,0.6,2025-07-01,UN_projection[32],
Myanmar,51375327,0.6,2024-10-15,2024_census_result[33],[k]
South_Korea,51143421,0.6,2025-10-31,Monthly_national_estimate[35],
Spain,49442844,0.6,2025-10-01,National_quarterly_estimate[36],
Algeria,47400000,0.6,2025-01-01,National_annual_projection[37],
Argentina,46387098,0.6,2025-07-01,National_annual_projection[38],
Iraq,46118793,0.6,2025-02-24,2024_census_result[39],
Uganda,45905417,0.6,2024-05-10,2024_census_result[40],
Afghanistan,43844000,0.5,2025-07-01,UN_projection[41][42](see_note),[l]
Canada,41575585,0.5,2025-10-01,National_quarterly_estimate[49],
Uzbekistan,38069116,0.5,2025-10-01,Official_estimate[50],
Poland,37363000,0.5,2025-10-31,Monthly_national_estimate[51],
Morocco,36828330,0.4,2024-09-01,2024_census_result[52],[m]
Angola,36604681,0.4,2024-09-19,2024_census_result[53],
Saudi_Arabia,35300280,0.4,2024-07-01,Official_estimate[54],
Peru,34350244,0.4,2025-07-01,National_annual_projection[55],
Malaysia,34281100,0.4,2025-09-30,National_quarterly_estimate[56],
Mozambique,34090466,0.4,2025-07-01,National_annual_projection[57],
Ghana,33742380,0.4,2025-07-01,National_annual_projection[58],
Ukraine,32862000,0.4,2025-04-01,IMF_estimate[59],[n]
Yemen,32684503,0.4,2023-07-01,Official_estimate[60],
Madagascar,31727042,0.4,2025-07-01,National_annual_projection[61],
Ivory_Coast,31719275,0.4,2024-12-31,National_annual_projection[62],
Nepal,29911840,0.4,2025-01-01,National_annual_projection[63],
Cameroon,29442327,0.4,2025-07-01,National_annual_projection[64],
Venezuela,28517000,0.3,2025-07-01,UN_projection[65],
Australia,27614400,0.3,2025-06-30,Official_projection[66],[o]
Niger,27522750,0.3,2025-07-01,National_annual_projection[67],
North_Korea,25950000,0.3,2024-07-01,National_annual_projection[68],
Syria,25620427,0.3,2025-07-01,Monthly_estimate[69],
Burkina_Faso,24070553,0.3,2025-07-01,Official_projection[70],
Taiwan,23306085,0.3,2025-11-30,Official_estimate[71],[p]
Mali,22395489,0.3,2022-06-15,2022_census_result[72],
Sri_Lanka,21781800,0.3,2024-12-19,2024_census_result[73],
Malawi,20734262,0.3,2025-07-01,National_annual_projection[74],
Kazakhstan,20478879,0.2,2025-12-01,Official_estimate[75],
Chile,20206953,0.2,2025-06-30,National_annual_projection[76],
Zambia,19693423,0.2,2022-09-08,2022_census_result[77],
Somalia,19655000,0.2,2025-07-01,UN_projection[78],[q]
Chad,19340757,0.2,2025-07-01,National_annual_projection[79],
Romania,19036031,0.2,2025-01-01,Official_estimate[80],
Senegal,18593258,0.2,2024-07-01,National_annual_projection[81],
Netherlands,18134031,0.2,2025-11-30,Official_estimate[82],[r]
Ecuador,18103660,0.2,2025-07-01,National_annual_projection[83],
Guatemala,18079810,0.2,2025-07-01,National_annual_projection[84],
Cambodia,17577760,0.2,2025-07-01,Official_projection[85],
Zimbabwe,17073087,0.2,2025-07-01,Official_projection[86],
South_Sudan,15786898,0.2,2025-07-01,National_annual_projection[87],
Guinea,14363931,0.2,2025-07-01,National_annual_projection[88],
Rwanda,14104969,0.2,2025-07-01,National_annual_projection[89],
Benin,13224860,0.2,2025-07-01,National_annual_projection[90],
Burundi,12332788,0.1,2024-08-16,Preliminary_census_result[91],
Tunisia,11972169,0.1,2024-11-06,2024_census_result[92],
Belgium,11924322,0.1,2025-11-01,Official_estimate[93],
Haiti,11867032,0.1,2024-07-01,National_annual_projection[94],
Jordan,11734000,0.1,2024-12-31,National_estimate[95],
Bolivia,11365333,0.1,2024-03-23,2024_census_result[96],
United_Arab_Emirates,11294243,0.1,2024-12-31,Official_estimate[97],
Czech_Republic,10897178,0.1,2025-09-30,Official_estimate[98],
Dominican_Republic,10771504,0.1,2022-11-10,2022_census_result[99],
Portugal,10749635,0.1,2024-12-31,Official_estimate[100],
Sweden,10610485,0.1,2025-10-31,Monthly_national_estimate[101],
Tajikistan,10499000,0.1,2025-01-01,Official_estimate[102],
Greece,10372335,0.1,2025-01-01,Official_estimate[103],
Azerbaijan,10253647,0.1,2025-10-01,Monthly_national_estimate[104],
Papua_New_Guinea,10185363,0.1,2024-06-16,2024_census_result[105],
Israel,10178000,0.1,2025-12-31,Monthly_national_estimate[106],[s]
Honduras,9892632,0.1,2024-07-01,National_annual_projection[107],
Cuba,9748007,0.1,2024-12-31,Official_estimate[108],
Hungary,9539502,0.1,2025-01-01,Official_estimate[109],
Austria,9216459,0.1,2025-10-01,National_quarterly_estimate[110],
Belarus,9109280,0.1,2025-01-01,Official_estimate[111],
Switzerland,9104063,0.1,2025-09-30,National_quarterly_estimate[112],
Sierra_Leone,9077691,0.1,2025-07-01,National_annual_projection[113],
Togo,8095498,0.1,2022-11-08,2022_census_result[114],
Laos,7647000,0.09,2024-07-01,National_annual_projection[115],
Hong_Kong(China),7527500,0.09,2025-06-30,National_estimate[116],
Libya,7459000,0.09,2025-07-01,UN_projection[117],
Kyrgyzstan,7281800,0.09,2025-01-01,Monthly_national_estimate[118],
Turkmenistan,7057841,0.09,2022-12-17,2022_census_result[119],
Nicaragua,6874748,0.08,2024-06-30,Official_estimate[120],
Serbia,6567783,0.08,2025-01-01,Official_estimate[121],[t]
Central_African_Republic,6470307,0.08,2024-07-01,National_annual_projection[122],
Bulgaria,6437360,0.08,2024-12-31,Official_estimate[123],
Republic_of_the_Congo,6142180,0.07,2023-05-17,2023_census_result[124],
Singapore,6110200,0.07,2025-06-30,National_annual_projection[125],
Paraguay,6109644,0.07,2022-11-09,2022_census_result[126],
El_Salvador,6029976,0.07,2024-05-02,2024_census_result[127],
Denmark,6024684,0.07,2025-11-01,Monthly_national_estimate[128],[u]
Finland,5656394,0.07,2025-11-30,Monthly_national_estimate[129],[v]
Norway,5618354,0.07,2025-09-30,National_quarterly_estimate[130],[w]
Lebanon,5490000,0.07,2021-07-01,Official_estimate[131],
Palestine,5483450,0.07,2023-01-01,National_annual_projection[132],[x]
Ireland,5458600,0.07,2025-04-01,National_estimate[133],
Slovakia,5413191,0.07,2025-09-30,National_quarterly_estimate[134],
Oman,5357728,0.07,2025-11-30,Monthly_national_estimate[135],
New_Zealand,5334200,0.06,2025-09-30,National_quarterly_estimate[136],[y]
Liberia,5248621,0.06,2022-11-10,2022_census_result[137],
Costa_Rica,5191824,0.06,2025-06-30,National_annual_projection[138],
Mauritania,4927532,0.06,2023-12-25,2023_census_result[139],
Kuwait,4881254,0.06,2025-01-01,Official_estimate[140],
Panama,4064780,0.05,2023-01-08,2023_census_result[141],
Croatia,3866233,0.05,2024-07-01,Official_estimate[142],
Georgia,3704500,0.05,2025-01-01,Official_estimate[143],[z]
Eritrea,3607000,0.04,2025-07-01,UN_projection[144](see_note),[aa]
Mongolia,3544835,0.04,2024-12-31,National_annual_projection[151],
Uruguay,3499451,0.04,2023-05-31,2023_Census[152],
Bosnia_and_Herzegovina,3412000,0.04,2024-07-01,Official_estimate[153],
Puerto_Rico(US),3203295,0.04,2024-07-01,Annual_projection[154],
Qatar,3173024,0.04,2024-11-30,Monthly_national_estimate[155],
Armenia,3076200,0.04,2025-01-01,Official_estimate[156],
Namibia,3022401,0.04,2023-09-24,2023_Census[157],
Lithuania,2896808,0.04,2025-12-01,Monthly_national_estimate[158],
Jamaica,2774538,0.03,2022-09-12,2022_census_result[159],
Gabon,2469296,0.03,2025-07-01,National_annual_projection[160],
Gambia,2422712,0.03,2024-05-01,Preliminary_census_results[161],
Moldova,2381300,0.03,2025-01-01,Official_estimate[162],[ab]
Albania,2363314,0.03,2025-01-01,Official_estimate[163],
Botswana,2359609,0.03,2022-03-18,2022_census_result[164],
Slovenia,2130986,0.03,2025-07-01,National_quarterly_estimate[165],
Lesotho,2116427,0.03,2024-01-01,Official_survey[166],
Latvia,1826200,0.02,2025-11-01,Monthly_national_estimate[167],
North_Macedonia,1822612,0.02,2024-12-31,Official_estimate[168],
Guinea-Bissau,1781308,0.02,2023-07-01,National_annual_projection[169],
Equatorial_Guinea,1668768,0.02,2024-07-01,Official_estimate[170],
Bahrain,1594654,0.02,2024-12-31,Official_estimate[171],
Kosovo,1585566,0.02,2024-04-04,2024_national_census[172],
Timor-Leste,1391221,0.02,2025-07-01,National_annual_projection[173],
Estonia,1369995,0.02,2025-01-01,Official_estimate[174],
Trinidad_and_Tobago,1367764,0.02,2025-06-30,Official_estimate[175],
Mauritius,1243741,0.02,2025-07-01,National_estimate[176],
Eswatini,1235549,0.02,2024-07-01,Official_projection[177],
Djibouti,1066809,0.01,2024-05-20,2024_census_result[178],
Cyprus,966400,0.01,2023-12-31,Official_estimate[179],[ac]
Comoros,919901,0.01,2025-01-01,Official_estimate[180],
Fiji,900869,0.01,2025-01-01,National_annual_projection[181],
Bhutan,784043,0.01,2025-01-01,National_annual_projection[182],
Guyana,772975,0.009,2021-07-01,Official_estimate[183],
Solomon_Islands,750325,0.009,2024-07-01,National_annual_projection[184],
Macau(China),686600,0.008,2025-09-30,National_quarterly_estimate[185],
Luxembourg,681973,0.008,2025-01-01,Official_estimate[186],
Montenegro,623327,0.008,2025-01-01,Official_estimate[187],
Suriname,616500,0.007,2021-07-01,Official_estimate[188],
Western_Sahara(disputed),600904,0.007,2025-07-01,UN_projection[189],
Malta,574250,0.007,2024-12-31,Official_estimate[190],
Maldives,515132,0.006,2022-09-13,2022_census_result[191],
Cape_Verde,491233,0.006,2021-06-16,2021_census_result[192],
Northern_Cyprus,476214,0.006,2023-12-31,Official_projection[193],[ad]
Brunei,455500,0.006,2024-07-01,Official_estimate[194],
Belize,417634,0.005,2025-07-01,Official_estimate[195],
Bahamas,398165,0.005,2022-04-04,2022_census_result[196],
Iceland,393160,0.005,2025-10-01,National_quarterly_estimate[197],
Transnistria,367776,0.004,2024-03-31,Official_estimate[198],[ae]
Vanuatu,321409,0.004,2024-07-01,National_annual_projection[199],
French_Polynesia(France),279500,0.003,2024-12-31,National_annual_projection[200],
Barbados,267800,0.003,2022-12-31,Official_estimate[201],
New_Caledonia(France),264596,0.003,2025-01-01,National_annual_projection[202],
Abkhazia,244236,0.003,2022-01-01,Official_estimate[203],[af]
São_Tomé_and_Príncipe,209607,0.003,2024-01-01,Preliminary_census_result[204],
Samoa,205557,0.002,2021-11-06,2021_Census[205],
Saint_Lucia,184100,0.002,2023-07-01,Official_estimate[206],
Curaçao(Netherlands),156115,0.002,2025-01-01,Official_estimate[207],
Guam(US),153836,0.002,2020-04-01,2020_census_result[208],
Seychelles,122729,0.001,2025-06-30,Official_estimate[209],
Kiribati,120740,0.001,2021-07-01,National_annual_projection[199],
Saint_Vincent_and_the_Grenadines,110872,0.001,2022-07-01,Official_estimate[210],
Aruba(Netherlands),109435,0.001,2025-06-30,Official_estimate[211],
Grenada,109021,0.001,2021-01-01,Preliminary_Census_results[212],
Micronesia,105564,0.001,2025-01-01,National_annual_projection[213],
Antigua_and_Barbuda,103603,0.001,2024-01-01,Official_estimate[214],
Jersey(UK),103267,0.001,2021-03-21,2021_census_result[215],
Tonga,100179,0.001,2021-11-30,2021_census_result[216],
Andorra,88941,0.001,2025-11-30,Monthly_national_estimate[217],
U.S._Virgin_Islands(US),87146,0.001,2020-04-01,2020_census_result[218],
Cayman_Islands(UK),84738,0.001,2023-12-31,National_annual_projection[219],
Isle_of_Man(UK),84530,0.001,2023-04-01,Official_estimate[220],
Dominica,67408,0.0008,2017-12-31,Official_estimate[221],
Guernsey(UK),64781,0.0008,2023-12-31,National_quarterly_estimate[222],
Bermuda(UK),64055,0.0008,2021-07-01,National_annual_projection[223],
Greenland(Denmark),56831,0.0007,2025-07-01,National_quarterly_estimate[224],
South_Ossetia,56520,0.0007,2021-12-31,Official_estimate[225],[ag]
Faroe_Islands(Denmark),54870,0.0007,2025-11-01,Monthly_national_estimate[226],
Saint_Kitts_and_Nevis,51320,0.0006,2022-01-01,2022_census_result[227],
Turks_and_Caicos_Islands(UK),50828,0.0006,2024-07-01,Official_estimate[228],
American_Samoa(US),49710,0.0006,2020-04-01,2020_census_result[229],
Northern_Mariana_Islands(US),47329,0.0006,2020-04-01,2020_census_result[230],
Marshall_Islands,42418,0.0005,2021-09-30,2021_Census[231],
Sint_Maarten(Netherlands),41349,0.0005,2025-01-01,Official_estimate[232],
Liechtenstein,41024,0.0005,2024-06-30,National_estimate[233],
British_Virgin_Islands(UK),39471,0.0005,2024-07-01,UN_projection[234],
Monaco,38423,0.0005,2024-12-31,Census[235],
Gibraltar(UK),38196,0.0005,2022-11-14,Preliminary_census_results[236],
San_Marino,34154,0.0004,2025-10-31,Monthly_national_estimate[237],
Saint_Martin(France),31496,0.0004,2025-01-01,Official_estimate[238],
Palau,16733,0.0002,2021-07-01,2021_Census[239],
Anguilla(UK),16010,0.0002,2024-12-31,Official_estimate[240],
Cook_Islands(New_Zealand),15040,0.0002,2021-07-01,2021_Census[241],
Nauru,11680,0.0001,2021-10-30,2021_Census[242],
Wallis_and_Futuna(France),11620,0.0001,2023-07-24,2023_Census[243],
Tuvalu,10643,0.0001,2022-12-12,2022_Census[244],
Saint_Barthélemy(France),10562,0.0001,2025-01-01,Official_estimate[238],
Saint_Pierre_and_Miquelon(France),5819,0.0,2025-01-01,Official_estimate[238],
"Saint_Helena,_Ascension_and_Tristan_da_Cunha(UK)",5651,0.0,2021-07-01,2021_Census[245][246][247],
Montserrat(UK),4386,0.0,2023-09-23,2023_census_result[248],
Falkland_Islands(UK),3662,0.0,2021-10-10,2021_census_result[249],
Tokelau(New_Zealand),2608,0.0,2025-01-01,2025_Census[250],
Norfolk_Island(Australia),2188,0.0,2021-01-01,2021_Census[251],
Christmas_Island(Australia),1692,0.0,2021-01-01,2021_Census[252],
Niue(New_Zealand),1681,0.0,2022-11-11,2022_Census[253],
Vatican_City,882,0.0,2024-12-31,Official_figure[254],[ah]
Cocos_(Keeling)_Islands(Australia),593,0.0,2020-06-30,2021_Census[255],
Pitcairn_Islands(UK),35,0.0,2023-07-01,Official_estimate[256],
